"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Feb 13 12:36:00 GMT 2021","Sat Feb 13 12:36:00 GMT 2021","118","tests","test_checkbox","TestCheckBox","","","test_select_checkbox_1","Select an unchecked checkbox"
"broken","Sat Feb 13 12:36:00 GMT 2021","Sat Feb 13 12:36:00 GMT 2021","117","tests","test_checkbox","TestCheckBox","","","test_un_select_checkbox_2","Un-select a checked checkbox"
"broken","Sat Feb 13 12:35:57 GMT 2021","Sat Feb 13 12:35:58 GMT 2021","341","tests","test_add_remove_elements","TestAddRemoveElements","","","test_add_element","Add new element to page"
"broken","Sat Feb 13 12:36:01 GMT 2021","Sat Feb 13 12:36:01 GMT 2021","116","tests","test_dynamic_controls","TestDynamicControls","","","test_remove_add_checkbox",""
"broken","Sat Feb 13 12:35:59 GMT 2021","Sat Feb 13 12:35:59 GMT 2021","117","tests","test_add_remove_elements","TestAddRemoveElements","","","test_delete_element","Delete an added element from page"
"broken","Sat Feb 13 12:36:00 GMT 2021","Sat Feb 13 12:36:00 GMT 2021","117","tests","test_dynamic_controls","TestDynamicControls","","","test_enable_disable_text_field",""
"broken","Sat Feb 13 12:36:01 GMT 2021","Sat Feb 13 12:36:01 GMT 2021","118","tests","test_forgot_password","TestForgotPassword","","","test_forgot_password","Send a password reset email via forgot password"
"broken","Sat Feb 13 12:36:01 GMT 2021","Sat Feb 13 12:36:01 GMT 2021","117","tests","test_login","TestLogIn","","","test_invalid_login","Login with invalid credentials"
"broken","Sat Feb 13 12:36:02 GMT 2021","Sat Feb 13 12:36:02 GMT 2021","117","tests","test_login","TestLogIn","","","test_valid_login","Login with valid credentials"
