"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Jan 16 13:19:54 GMT 2021","Sat Jan 16 13:19:54 GMT 2021","118","tests","test_checkbox","TestCheckBox","","","test_select_checkbox_1","Select an unchecked checkbox"
"broken","Sat Jan 16 13:19:54 GMT 2021","Sat Jan 16 13:19:54 GMT 2021","116","tests","test_add_remove_elements","TestAddRemoveElements","","","test_delete_element","Delete an added element from page"
"broken","Sat Jan 16 13:19:56 GMT 2021","Sat Jan 16 13:19:56 GMT 2021","115","tests","test_login","TestLogIn","","","test_valid_login","Login with valid credentials"
"broken","Sat Jan 16 13:19:52 GMT 2021","Sat Jan 16 13:19:52 GMT 2021","250","tests","test_add_remove_elements","TestAddRemoveElements","","","test_add_element","Add new element to page"
"broken","Sat Jan 16 13:19:55 GMT 2021","Sat Jan 16 13:19:55 GMT 2021","115","tests","test_drop_down","TestDropDown","","","test_select_option_one","Select first option in drop down"
"broken","Sat Jan 16 13:19:55 GMT 2021","Sat Jan 16 13:19:55 GMT 2021","115","tests","test_forgot_password","TestForgotPassword","","","test_forgot_password","Send a password reset email via forgot password"
"broken","Sat Jan 16 13:19:55 GMT 2021","Sat Jan 16 13:19:55 GMT 2021","114","tests","test_checkbox","TestCheckBox","","","test_un_select_checkbox_2","Un-select a checked checkbox"
"broken","Sat Jan 16 13:19:56 GMT 2021","Sat Jan 16 13:19:56 GMT 2021","115","tests","test_login","TestLogIn","","","test_invalid_login","Login with invalid credentials"
