"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jan 15 05:34:39 GMT 2021","Fri Jan 15 05:34:40 GMT 2021","195","tests","test_add_remove_elements","TestAddRemoveElements","","","test_add_element","Add new element to page"
"broken","Fri Jan 15 05:34:42 GMT 2021","Fri Jan 15 05:34:42 GMT 2021","114","tests","test_login","TestLogIn","","","test_invalid_login","Login with invalid credentials"
"broken","Fri Jan 15 05:34:42 GMT 2021","Fri Jan 15 05:34:42 GMT 2021","115","tests","test_forgot_password","TestForgotPassword","","","test_forgot_password","Send a password reset email via forgot password"
"broken","Fri Jan 15 05:34:41 GMT 2021","Fri Jan 15 05:34:41 GMT 2021","115","tests","test_add_remove_elements","TestAddRemoveElements","","","test_delete_element","Delete an added element from page"
"broken","Fri Jan 15 05:34:42 GMT 2021","Fri Jan 15 05:34:42 GMT 2021","114","tests","test_checkbox","TestCheckBox","","","test_un_select_checkbox_2","Un-select a checked checkbox"
"broken","Fri Jan 15 05:34:43 GMT 2021","Fri Jan 15 05:34:43 GMT 2021","114","tests","test_login","TestLogIn","","","test_valid_login","Login with valid credentials"
"broken","Fri Jan 15 05:34:41 GMT 2021","Fri Jan 15 05:34:41 GMT 2021","114","tests","test_checkbox","TestCheckBox","","","test_select_checkbox_1","Select an unchecked checkbox"
