"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Nov 21 20:16:20 GMT 2020","Sat Nov 21 20:16:20 GMT 2020","114","tests","test_add_remove_elements","TestAddRemoveElements","","","test_delete_element","Delete an added element from page"
"broken","Sat Nov 21 20:16:20 GMT 2020","Sat Nov 21 20:16:20 GMT 2020","113","tests","test_forgot_password","TestForgotPassword","","","test_forgot_password","Send a password reset email via forgot password"
"broken","Sat Nov 21 20:16:16 GMT 2020","Sat Nov 21 20:16:16 GMT 2020","552","tests","test_add_remove_elements","TestAddRemoveElements","","","test_add_element","Add new element to page"
