"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Jan 02 21:36:18 GMT 2021","Sat Jan 02 21:36:18 GMT 2021","116","tests","test_checkbox","TestCheckBox","","","test_select_checkbox_1","Select an unchecked checkbox"
"broken","Sat Jan 02 21:36:19 GMT 2021","Sat Jan 02 21:36:19 GMT 2021","115","tests","test_checkbox","TestCheckBox","","","test_un_select_checkbox_2","Un-select a checked checkbox"
"broken","Sat Jan 02 21:36:19 GMT 2021","Sat Jan 02 21:36:19 GMT 2021","116","tests","test_login","TestLogIn","","","test_invalid_login","Login with invalid credentials"
"broken","Sat Jan 02 21:36:15 GMT 2021","Sat Jan 02 21:36:16 GMT 2021","404","tests","test_add_remove_elements","TestAddRemoveElements","","","test_add_element","Add new element to page"
"broken","Sat Jan 02 21:36:20 GMT 2021","Sat Jan 02 21:36:20 GMT 2021","115","tests","test_login","TestLogIn","","","test_valid_login","Login with valid credentials"
"broken","Sat Jan 02 21:36:19 GMT 2021","Sat Jan 02 21:36:19 GMT 2021","116","tests","test_forgot_password","TestForgotPassword","","","test_forgot_password","Send a password reset email via forgot password"
"broken","Sat Jan 02 21:36:18 GMT 2021","Sat Jan 02 21:36:18 GMT 2021","117","tests","test_add_remove_elements","TestAddRemoveElements","","","test_delete_element","Delete an added element from page"
