"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Dec 21 18:56:35 GMT 2020","Mon Dec 21 18:56:35 GMT 2020","373","tests","test_add_remove_elements","TestAddRemoveElements","","","test_add_element","Add new element to page"
"broken","Mon Dec 21 18:56:37 GMT 2020","Mon Dec 21 18:56:37 GMT 2020","117","tests","test_add_remove_elements","TestAddRemoveElements","","","test_delete_element","Delete an added element from page"
"broken","Mon Dec 21 18:56:37 GMT 2020","Mon Dec 21 18:56:38 GMT 2020","116","tests","test_forgot_password","TestForgotPassword","","","test_forgot_password","Send a password reset email via forgot password"
