"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Jan 02 20:12:20 GMT 2021","Sat Jan 02 20:12:21 GMT 2021","116","tests","test_add_remove_elements","TestAddRemoveElements","","","test_delete_element","Delete an added element from page"
"broken","Sat Jan 02 20:12:21 GMT 2021","Sat Jan 02 20:12:21 GMT 2021","123","tests","test_forgot_password","TestForgotPassword","","","test_forgot_password","Send a password reset email via forgot password"
"broken","Sat Jan 02 20:12:20 GMT 2021","Sat Jan 02 20:12:20 GMT 2021","150","tests","test_add_remove_elements","TestAddRemoveElements","","","test_add_element","Add new element to page"
