"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Feb 13 13:37:18 GMT 2021","Sat Feb 13 13:37:18 GMT 2021","177","tests","test_add_remove_elements","TestAddRemoveElements","","","test_add_element","Add new element to page"
"broken","Sat Feb 13 13:37:19 GMT 2021","Sat Feb 13 13:37:19 GMT 2021","114","tests","test_checkbox","TestCheckBox","","","test_select_checkbox_1","Select an unchecked checkbox"
"broken","Sat Feb 13 13:37:20 GMT 2021","Sat Feb 13 13:37:20 GMT 2021","115","tests","test_login","TestLogIn","","","test_invalid_login","Login with invalid credentials"
"broken","Sat Feb 13 13:37:20 GMT 2021","Sat Feb 13 13:37:20 GMT 2021","0","tests","test_drop_down","TestDropDown","","","test_select_option_one[1]","Select first option in drop down"
"broken","Sat Feb 13 13:37:19 GMT 2021","Sat Feb 13 13:37:19 GMT 2021","0","tests","test_drop_down","TestDropDown","","","test_select_option_one[0]","Select first option in drop down"
"broken","Sat Feb 13 13:37:19 GMT 2021","Sat Feb 13 13:37:19 GMT 2021","114","tests","test_checkbox","TestCheckBox","","","test_un_select_checkbox_2","Un-select a checked checkbox"
"broken","Sat Feb 13 13:37:18 GMT 2021","Sat Feb 13 13:37:18 GMT 2021","115","tests","test_add_remove_elements","TestAddRemoveElements","","","test_delete_element","Delete an added element from page"
"broken","Sat Feb 13 13:37:20 GMT 2021","Sat Feb 13 13:37:20 GMT 2021","116","tests","test_forgot_password","TestForgotPassword","","","test_forgot_password","Send a password reset email via forgot password"
"broken","Sat Feb 13 13:37:20 GMT 2021","Sat Feb 13 13:37:21 GMT 2021","114","tests","test_login","TestLogIn","","","test_valid_login","Login with valid credentials"
